institution,institute_id,experiment_id,source,model_id,forcing,parent_experiment_id,parent_experiment_rip,branch_time,contact,history,comment,initialization_method,physics_version,tracking_id,product,experiment,frequency,creation_date,Conventions,project_id,table_id,title,parent_experiment,modeling_realm,realization,cmor_version,collection,references,acknowledgements,cesm_casename,cesm_repotag,cesm_compset,resolution,forcing_note,processed_by,processing_code_information,gfdl_experiment_name,branch_time_YMDH,CCCma_runid,CCCma_parent_runid,CCCma_data_licence,version_number,notes,mo_runid,nco_openmp_thread_number,CDI,CDO
EC-Earth (European Earth System Model),ICHEC,historical,"EC-EARTH 2.3 (2011); atmosphere: IFS (cy31R1+modifications, T159L62); ocean: NEMO (version2+modifications, ORCA1-42lev); sea ice: LIM2; land: HTessel",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2006.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,Output from archive/historical 2013-03-27T19:44:50Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850  UL/IM run done at ECMWF; local contact Mariana Bernardino (mariana.bernardino at meteo.pt),1,1,eb27cc0e-f58a-4b47-9e36-af1fe0fd8764,output,historical,mon,2013-03-27T19:45:10Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,11,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,,
EC-EARTH (European Earth System Model),ICHEC,historical,"EC-EARTH 2.3 (2011); atmosphere: IFS (cy31R1+modifications, T159L62); ocean: NEMO (version2+modifications, ORCA1-42lev); sea ice: LIM2; land: HTessel",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2265.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"SMHI historical experiment, 2012-03-22T11:38:54Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",SMHI contact klaus.wyser-at-smhi.se,1,1,3a99e1de-9ade-481c-97bc-38d67182d78b,output,historical,mon,2012-03-22T11:39:21Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,12,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,,
EC-Earth (European Earth System Model),ICHEC,historical,"EC-EARTH 2.3 (2011); atmosphere: IFS (cy31R1+modifications, T159L62); ocean: NEMO (version2+modifications, ORCA1-42lev); sea ice: LIM2; land: HTessel",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2006.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Fri Jan  4 16:05:03 2013: ncrcat ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185001-185012.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185101-185112.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185201-185212.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185301-185312.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185401-185412.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185501-185512.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185601-185612.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185701-185712.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185801-185812.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_185901-185912.nc x
Output from archive/historical 2013-01-04T13:33:34Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850\nMet Eireann ensemble run; local contact Emily Gleeson <emily.gleeson@met.ie>,1,1,65e9225b-f513-48c5-99ac-d8c6b5d86936,output,historical,mon,2013-01-04T13:34:17Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,13,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,1.0,,
EC-Earth (European Earth System Model),ICHEC,historical,"EC-EARTH 2.3 (2011); atmosphere: IFS (cy31R1+modifications, T159L62); ocean: NEMO (version2+modifications, ORCA1-42lev); sea ice: LIM2; land: HTessel",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2006.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Fri Jan  4 16:05:05 2013: ncrcat ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186001-186012.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186101-186112.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186201-186212.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186301-186312.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186401-186412.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186501-186512.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186601-186612.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186701-186712.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186801-186812.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_186901-186912.nc x
Output from archive/historical 2013-01-04T12:00:53Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850 \n  Met Eireann ensemble run; local contact is Emily Gleeson <emily.gleeson@met.ie>,1,1,72a513a8-17c2-48c9-9408-d18140d86630,output,historical,mon,2013-01-04T12:01:30Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,13,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,1.0,,
EC-Earth (European Earth System Model),ICHEC,historical,,EC-EARTH,"Nat,Ant",piControl,r1i1p1,2280.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Fri Nov 22 21:50:42 2013: ncatted -a model_id,global,m,c,EC-EARTH r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194001-194812.nc4
Fri Nov 22 21:50:42 2013: ncatted -a branch_time,global,m,d,2280.000000 r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194001-194812.nc4
Fri Nov 22 18:13:57 2013: cdo -f nc4 -z zip copy r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194001-194812.nc r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194001-194812.nc4
Fri Nov 22 07:32:37 2013: ncatted -a branch_time,global,m,d,2280.000000 r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194001-194812.nc
Wed Nov 20 14:16:56 2013: ncatted -a branch_time,global,m,d,2280.000000 r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194001-194812.nc
Wed Jan 23 16:17:47 2013: ncrcat ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194001-194012.nc ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194101-194112.nc ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194201-194212.nc ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194301-194312.nc ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194401-194412.nc ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194501-194512.nc ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194601-194612.nc ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194701-194712.nc ./tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_194801-194812.nc x
Output from archive/historical 2013-01-23T15:32:16Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.","Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850
 Met Eireann run, local contact emily.gleeson at met.ie, post-processed at ICHEC by Alastair McKinstry",1,1,69fbc339-9cb2-4582-b8ef-a66e6cb6c762,output,historical,mon,2013-01-23T15:33:02Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,13,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,1.0,Climate Data Interface version 1.4.5 (http://code.zmaw.de/projects/cdi),Climate Data Operators version 1.4.5 (http://code.zmaw.de/projects/cdo)
EC-Earth (European Earth System Model),ICHEC,historical,,EC-EARTH,"Nat,Ant",piControl,r1i1p1,2280.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Fri Nov 22 21:50:43 2013: ncatted -a model_id,global,m,c,EC-EARTH r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194901-194912.nc4
Fri Nov 22 21:50:43 2013: ncatted -a branch_time,global,m,d,2280.000000 r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194901-194912.nc4
Fri Nov 22 18:14:02 2013: cdo -f nc4 -z zip copy r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194901-194912.nc r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194901-194912.nc4
Fri Nov 22 07:32:47 2013: ncatted -a branch_time,global,m,d,2280.000000 r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194901-194912.nc
Wed Nov 20 14:17:19 2013: ncatted -a branch_time,global,m,d,2280.000000 r13i1p1/v20131120/tas/tas_Amon_EC-EARTH_historical_r13i1p1_194901-194912.nc
Output from archive/historical 2013-01-24T10:17:58Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.","Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850
 Met Eireann run, local contact emily.gleeson at met.ie, post-processed at ICHEC by Alastair McKinstry",1,1,bad89197-e78a-4019-9bf7-4e152aa2690a,output,historical,mon,2013-01-24T10:18:21Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,13,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,Climate Data Interface version 1.4.5 (http://code.zmaw.de/projects/cdi),Climate Data Operators version 1.4.5 (http://code.zmaw.de/projects/cdo)
EC-Earth (European Earth System Model),ICHEC,historical,,EC-EARTH,"Nat,Ant",piControl,r1i1p1,2125.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Fri May 25 10:36:27 2012: cdo cat historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195001-195012.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195101-195112.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195201-195212.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195301-195312.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195401-195412.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195501-195512.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195601-195612.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195701-195712.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195801-195812.nc historical/mon/atmos/tas/r13i1p1/tas_Amon_EC-EARTH_historical_r13i1p1_195901-195912.nc x
Output from archive/historical 2012-05-25T07:53:16Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850,1,1,de8e1a9e-2f84-4269-bd11-050af193b113,output,historical,mon,2012-05-25T07:53:16Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,13,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,Climate Data Interface version 1.4.4 (http://code.zmaw.de/projects/cdi),Climate Data Operators version 1.4.4 (http://code.zmaw.de/projects/cdo)
EC-Earth (European Earth System Model),ICHEC,historical,"EC-EARTH 2.3 (2011); atmosphere: IFS (cy31R1+modifications, T159L62); ocean: NEMO (version2+modifications, ORCA1-42lev); sea ice: LIM2; land: HTessel",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2006.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Fri Jan  4 16:05:14 2013: ncrcat ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185001-185012.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185101-185112.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185201-185212.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185301-185312.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185401-185412.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185501-185512.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185601-185612.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185701-185712.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185801-185812.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_185901-185912.nc x
Output from archive/historical 2013-01-04T12:57:12Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.","Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850 \n  Met Eireann ensemble run, Local contact Emily Gleeson <emily.gleeson@met.ie>",1,1,7dd2d38a-2163-4183-9829-2b045243c0db,output,historical,mon,2013-01-04T12:58:07Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,14,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,1.0,,
EC-Earth (European Earth System Model),ICHEC,historical,,EC-EARTH,"Nat,Ant",piControl,r1i1p1,2125.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Tue May 22 20:51:57 2012: cdo cat mei3-ifs-2/CMIP5/output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_195001-195012.nc mei3-ifs-2/CMIP5/output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_195101-195112.nc mei3-ifs-2/CMIP5/output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_195201-195212.nc mei3-ifs-2/CMIP5/output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_195301-195312.nc mei3-ifs-2/CMIP5/output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_195401-195412.nc mei3-ifs-2/CMIP5/output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_195501-195512.nc mei3-ifs-2/CMIP5/output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_195601-195612.nc mei3-ifs-2/CMIP5/output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r14i1p1/tas_Amon_EC-EARTH_historical_r14i1p1_195701-195712.nc
Output from archive/historical 2012-05-22T16:02:13Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850,1,1,601057fe-5253-490e-9503-638e1fb76979,output,historical,mon,2012-05-22T16:02:13Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,14,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,Climate Data Interface version 1.4.4 (http://code.zmaw.de/projects/cdi),Climate Data Operators version 1.4.4 (http://code.zmaw.de/projects/cdo)
EC-Earth (European Earth System Model),ICHEC,historical,,EC-EARTH,"Nat,Ant",piControl,r1i1p1,2125.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Mon May 14 03:03:50 2012: cdo cat historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185001-185012.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185101-185112.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185201-185212.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185301-185312.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185401-185412.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185501-185512.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185601-185612.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185701-185712.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185801-185812.nc historical/mon/atmos/tas/r1i1p1/tas_Amon_EC-EARTH_historical_r1i1p1_185901-185912.nc x
Output from archive/historical 2012-05-12T16:44:50Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",Equilibrium reached after preindustrial spin-up after which data were output starting with nominal date of January 1850,1,1,c14c50e4-51ea-4803-b99f-36e96152a27c,output,historical,mon,2012-05-12T16:44:50Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,1,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,Climate Data Interface version 1.4.4 (http://code.zmaw.de/projects/cdi),Climate Data Operators version 1.4.4 (http://code.zmaw.de/projects/cdo)
EC-EARTH (European Earth System Model),ICHEC,historical,"EC-EARTH 2.3 (2011); atmosphere: IFS (cy31R1+modifications, T159L62); ocean: NEMO (version2+modifications, ORCA1-42lev); sea ice: LIM2; land: HTessel",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2265.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"SMHI historical experiment, 2012-03-21T09:16:27Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",SMHI contact klaus.wyser-at-smhi.se,1,1,24f23b92-b879-4327-8555-dea59d5c6051,output,historical,mon,2012-03-21T09:16:27Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,2,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,,
EC-Earth (European Earth System Model),ICHEC,historical,"EC-EARTH: (2011) ; atmosphere: IFS (cy31r1, 95 cores); ocean: NEMO (v2, ORCA1, 4x8) ; coupler: OASIS3 (v3.3) ; sea ice: LIM2 ; + EC-Earth developments",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2160.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,BSC historical experiment 2012-07-03T07:25:32Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,BSC contact maria.goncalves-at-bsc.es,1,1,fa993136-9489-43d4-ae9b-a46fa8d131e8,output,historical,mon,2012-07-03T07:25:32Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-Earth model output prepared for CMIP5 historical,pre-industrial control,atmos,5,2.8.0,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,,
EC-Earth (European Earth System Model),ICHEC,historical,,EC-EARTH,"Nat,Ant",piControl,r1i1p1,2160.0,Alastair McKinstry <alastair.mckinstry@ichec.ie>,"Wed Nov 13 23:02:22 2013: cdo -f nc4 -z zip copy ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r5i1p1/tas_Amon_EC-EARTH_historical_r5i1p1_191001-191912.nc ./output/ICHEC/EC-EARTH/historical/mon/atmos/tas/r5i1p1/tas_Amon_EC-EARTH_historical_r5i1p1_191001-191912.nc4
BSC historical experiment 2013-09-06T10:48:23Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",BSC contact maria.goncalves-at-bsc.es,1,1,94b0e2d6-fadb-4e7a-af5b-f63ac9b199a9,output,historical,mon,2013-09-06T10:48:40Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-Earth model output prepared for CMIP5 historical,pre-industrial control,atmos,5,2.8.3,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,Climate Data Interface version 1.4.5 (http://code.zmaw.de/projects/cdi),Climate Data Operators version 1.4.5 (http://code.zmaw.de/projects/cdo)
EC-Earth (European Earth System Model),ICHEC,historical,"EC-EARTH 2.3 (2011); atmosphere: IFS (cy31R1+modifications, T159L62); ocean: NEMO (version2+modifications, ORCA1-42lev); sea ice: LIM2; land: HTessel",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2175.0,Alastair McKinstry<alastair.mckinstry@ichec.ie,KNMI historical experiment 2012-02-14T10:32:34Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,KNMI contact c.severijns@knmi.nl,1,1,30d6cdd5-640a-4b77-b17f-ad21d8ce4580,output,historical,mon,2012-02-14T10:33:39Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-EARTH model output prepared for CMIP5 historical,pre-industrial control,atmos,6,2.7.1,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,,
EC-Earth (European Earth System Model),ICHEC,historical,"EC-Earth 2.3 (2011); atmosphere: IFS (cy31R1+modifications, T159L62); ocean: NEMO (version2+modifications, ORCA1-42lev); sea ice: LIM2; land: HTessel",EC-EARTH,"Nat,Ant",piControl,r1i1p1,2190.0,Alastair McKinstry<alastair.mckinstry@ichec.ie,"Fri Jan  4 16:17:57 2013: ncatted -a institution,global,m,c,EC-Earth (European Earth System Model) ./mon/tas_Amon_EC-EARTH_historical_r7i1p1_185001-189912.nc
Fri Jan  4 16:17:57 2013: ncatted -a model_id,global,m,c,EC-EARTH ./mon/tas_Amon_EC-EARTH_historical_r7i1p1_185001-189912.nc
AEMET historical experiment 2012-02-21T10:35:18Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",AEMET contact jparodip-at-aemet.es,1,1,aa4b0df6-73b9-4a03-8b2e-ca3b12c96dfe,output,historical,mon,2012-02-21T10:35:53Z,CF-1.4,CMIP5,Table Amon (26 July 2011) b26379e76858ab98b927917878a63d01,EC-Earth model output prepared for CMIP5 historical,pre-industrial control,atmos,7,2.7.1,anth,"Model described by Hazeleger et al. (Bull. Amer. Meteor. Soc., 2010, 91, 1357-1363). Also see http://ecearth.knmi.nl.",,,,,,,,,,,,,,,,,,,
